ministry,website,division,name,designation,room,phones,email,source_url
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister's Office,Shri Kinjarapu Rammohan Naidu,Hon'ble Minister,,"24610350, 24632991",hm.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister's Office,Shri Shrikesh Lathkar,PS to HMCA,,"24610362, 24610350",ps-hmca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister's Office,Shri Naupada Satyanarayana,Addl. PS to HMCA,,,satya.naupada@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister's Office,Shri Menda Latchanna,1st PA to HMCA,,,latchanna.menda@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister's Office,Mr. Dhan Singh Bisht,LPA to HMCA,,,dsbisht.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister of State Office,Shri Murlidhar Mohol,Hon'ble Minister of State,,"24603846, 24626001, 24627231",mos.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister of State Office,Shri Aditya Shirirsh Joshi,Asst. PS to HMoS,,"24626001, 24627231, 24603846",mos.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister of State Office,Shri Nisarg Upendra Vyas,1st PA to HMoS,,"24627231, 24626001, 24603846",mos.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister of State Office,Shri Ashish Soni,Section Officer to HMoS,,"24627231, 24626001",mos.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Minister of State Office,Shri Dinesh Kumar,Protocol Officer to HMoS,,"24627231, 24626001, 24603846",officemos.moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Secretary's Office,Shri Samir Kumar Sinha,Secretary,,,secy.moca@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Secretary's Office,Shri P M Muralidharen,Consultant,,,secy.moca@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Secretary's Office,Shri V P Singh,Sr. PPS to Secretary,,,secy.moca@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Secretary's Office,Shri Azeez Baig,PPS to Secretary,,,secy.moca@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Additional Secretary,Shri Puneet Kansal,Additional Secretary,,,as-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Additional Secretary,Shri Surender Kumar,PPS to AS (P.K),,Ext. - 2835,surender.kumar32@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Additional Secretary,Ms. Nisha,PS to AS (PK),,Ext. - 2835,nisha.01@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Senior Economic Advisor,Ms. Navdeep,Principal Staff Officer,,"24629322, Ext. No- 2814/ 2815",navdeep.67@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Senior Economic Advisor,Shri Subodh Kant Sinha,Private Secretary,,"24629322, Ext. No- 2814/ 2815",subodh.sinha@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Chief Commissioner of Railway Safety,Shri Janak Kumar Garg,CC Railway Safety,,,ccrs-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Chief Commissioner of Railway Safety,Shri Ramji Lal,PPS to CCRS,,,,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Financial Advisor,Shri Padam Lal Negi,Joint Secretary and Financial Advisor,,,faoffice-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Financial Advisor,Smt. Manju Sharma,Consultant,,,faoffice-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri. Asangba Chuba Ao,JS (ACA),,,jsdt-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri Yogesh Kumar Butta,PPS to JS (ACA),,"24617692, Ext.- 2830",yogesh.butta@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri Kumudranjan Kumar,Steno to JS (ACA),,Ext. - 3705,kumudranjan.kr@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri Pramod Kumar Thakur,Deputy Director General,,,pk.thakur@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri Rajendra Kumar,PPS to DDG(PKT),,,rajender.k@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Ms. Priyanka Das,JS (PD),,"24616303, Ext. - 2827",jsdg-moca@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri. Gaurav Burman,PPS to JS (PD),,"24616303, Ext.- 2828",,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Shri. Madhu Sudana Sankar,JS (MSS),,"24610360, Ext. - 3729",madhu.sankar@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Joint Secretaries and Equivalent,Smt. Neelam Grover,PPS to JS (MSS),,"24610360, Ext. - 3730",neelu.grover@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri. Rohit Raj,Director,,,rohit.raj@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Shalini,PA to Director (RR),,,shalini.1993@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Tanvi Sundriyal Bahuguna,Director,,,tanvi.sundriyal@ias.nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Chetna Choudhary,Steno to Dir (TS),,,,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri. Shankhesh Mehta,Director,,,shankhesh.m@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. B. Minakshi,PS to Dir (SM),,,shankhesh.m@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri Kumar Saurabh Raj,Director,,,saurabh.kumar11@ias.gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri. U Murugan,PS to Dir (KSR),,,murugan.uday@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri Ambuj Sharma,Director,,,ambuj.sharma38@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Deepika Saini,PS to Dir (AS),,,kumar.manoj98@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Lt. Col. Manish Kumar Singh,Director(OL),,,manngh.043l@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri. Vinay Kumar,PS to Dir (OL),,,vinay.moca@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Nayonika Dutta,Joint Director,,,nayonika.dutta@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri Vijayant Kumar Arora,Deputy Secretary,,,vijayant_arora@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Kanupriya,Steno to DS (VKA),,,kanupriya.08@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Bindu,Steno to DS (SM),,,bindu.1993@gov.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Shri. Sudhanshu Shekhar Mishra,Deputy Secretary,,,ss.mishra@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Civil Aviation (MoCA),https://www.civilaviation.gov.in,Directors/Deputy Secretaries,Ms. Rupali Kanwat,Stano to DS (SSM),,,ss.mishra@nic.in,https://www.civilaviation.gov.in/about-ministry/whos-who
Coal,https://coal.nic.in,Minister's Office,Shri G. Kishan Reddy,Hon'ble Minister of Coal & Mines,4101-ZONE-1,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Minister's Office,"Dr. Pankaj Jain, IAS",PS to Hon'ble Minister of Coal & Mines,4107/4108 ZONE-1,,dak.hmmoc@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Minister's Office,"Shri A.Venkateshwar Reddy, IPoS",Addl. PS to Hon'ble Minister of Coal & Mines,4111-ZONE-1,,addlpsto.moc@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Minister's Office,Shri Neelesh Kumar Joshi,Assistant Private Secretary to Hon'ble Minister of Coal & Mines,,,njoshi.aps@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Satish Chandra Dubey,Hon'ble MoS for Coal & Mines,4201-ZONE-2,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Rituraj Misra,PS to Hon'ble MoS,4202-ZONE-2,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Mukul Kumar,Additional PS to Hon'ble MoS,4207-ZONE-2,,mos-coal@gov.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri -----,Additional PS to Hon'ble MoS,4207-ZONE-2,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Sandeep Upadhyay,First PA,504-C,501/509,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Ranjeet Kumar Choubey,Second PA,504-C,501/509,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Hridyesh Dwiwedi,Second PA,504-C,501/509,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,MoS's Office,Shri Narayan Jee Ojha,LPA,504-C,501/509,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Secretary's Office,Shri Vikram Dev Dutt,Secretary,3501-ZONE-5,,secy.moc@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Secretary's Office,Shri Parveen Arora,PPS,3502-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Secretary's Office,Shri Vijay Kumar Juneja,PPS,3502-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Additional Secretary,Smt. Rupinder Brar,Add. Secretary,3506-ZONE-5,,rup.brar@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Additional Secretary,Shri S.Sethuraman,PPS,4610-ZONE-6,228/139,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Additional Secretary,Shri Sanoj Kumar Jha,Add. Secretary,4506-ZONE-5,,sanoj.jha@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Additional Secretary,Shri Ravinder Kumar,PPS,4610-ZONE6,200/135,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Sanjeev Kumar Kassi,Joint Secretary,3503-ZONE-5,,sanjeev_kassi@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri A.Srikanth,PPS,4610-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Ms. Jyoti Sahi,PA,4610-ZONE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Manoj Kumar Gangeya,Joint Secretary,3505-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Smt. Sarla Sharma,PPS,6322-ZONE-3,273/239,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Ashim Kumar Modi,Joint Secretary & F.A.,4505-ZONE-5,,jsfa.moc@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Rajesh Rawal,Sr. PPS,4511-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Smt. Chetna Shukla,Deputy Director General,LNB 5th Floor,801/802,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Ms. Aarti,PA,LNB 5th Floor,803/804,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Gopal Singh,Joint Secretary,3504-ZONE-5,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Vivek,Sr. PPS,4619-Z0NE-6,,,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Alok Kumar Singh,Advisor(P),4601-ZONE-6,,advp.moc@nic.in,https://coal.nic.in/about-us/whos-who
Coal,https://coal.nic.in,Joint Secretaries/Advisors/DDG,Shri Ajay Kumar Saroj,PS,4610-ZONE-6,,,https://coal.nic.in/about-us/whos-who
