igod_org_id,org_name,branch,state,address,phone,fax,email,website,social
3p8Len0BjXgo0VKujWP3,Ministry of Cooperation,ug,,"Atal Akshay Urja Bhawan, CGO Complex, Lodhi Road, Behind NIA Building, New Delhi",Fax: Email: sanjeev[dot]kumar29[at]nic[dot]in Social Media: Website: https://www.cooperation.gov.in,Email: sanjeev[dot]kumar29[at]nic[dot]in Social Media: Website: https://www.cooperation.gov.in,sanjeev.kumar29@nic.in,https://www.cooperation.gov.in,
5wPlNYYB77KrIrzWr9-k,Ministry of Planning,ug,,South Block,Fax: Email: niti[at]gov[dot]in Website:,Email: niti[at]gov[dot]in Website:,niti@gov.in Website:,,
9AVrYoUBF92NGf8XaqwV,Campus Ambassador Programme (MyGov),ug,,"Office of CEO, MyGov 3rd Floor, Room no-3015 Ministry of Electronics and Information Technology (Government of India) Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi - 110003, India","011-24301815, 011-24364706",Email: Social Media: Website: https://campus.mygov.in,Social Media: Website: https://campus.mygov.in,https://campus.mygov.in,
EldUWo4BJxKxhDoWcIGn,GOV.IN Root Services,ug,,"GOV.IN Domain Registrar, National Informatics Centre (NIC), A4B4, 3rd Floor, A-Block, CGO Complex, Lodhi Road, New Delhi - 110003",011-24305112,Email: support[at]registry[dot]gov[dot]in Website: https://gov.in,support@registry.gov.in Website: https://gov.in,https://gov.in,
F84zv3QBGZk0jujBKgGW,Ministry of Coal,ug,,"Ministry of Coal, GPOA-3 Netaji Nagar, New Delhi - 110023",20903117,Email: Social Media: Website: https://coal.nic.in,Social Media: Website: https://coal.nic.in,https://coal.nic.in,
FM4zv3QBGZk0jujBKgGW,Ministry of Agriculture and Farmers Welfare,ug,,"Krishi Bhawan, New Delhi",23389340,Email: Social Media: Website:,Social Media: Website:,,
Fc4zv3QBGZk0jujBKgGW,Ministry of Chemicals and Fertilizers,ug,,"Ministry of Chemicals & Fertilizers, Dept. of Chemicals & Petrochemicals, 22019 (KB-II), Kartavya Bhawan, New Delhi-110001",011-23070712,011-23387892,hk.suanthang@nic.in,https://mocf.gov.in,
Fs4zv3QBGZk0jujBKgGW,Ministry of Civil Aviation,ug,,"Rajiv Gandhi Bhawan, Block B, Safdarjung Airport Area, New Delhi, 110003","24604283, 24695094",Email: webmaster-moca[at]gov[dot]in Website: https://www.civilaviation.gov.in,webmaster-moca@gov.in Website: https://www.civilaviation.gov.in,https://www.civilaviation.gov.in,
G84zv3QBGZk0jujBKgGW,Ministry of Corporate Affairs,ug,,"Ministry of Corporate Affairs, 3rd Floor, Kartavya Bhawan-1, New Delhi-110001",0120-4832500,Email: crc[dot]escalation[at]mca[dot]gov[dot]in Social Media: Website: https://www.mca.gov.in,crc.escalation@mca.gov.in,https://www.mca.gov.in,
GM4zv3QBGZk0jujBKgGW,Ministry of Commerce and Industry,ug,,"Vanijya Bhawan, New Delhi-110011",23062261,23063418,Social Media: Website: https://www.moci.gov.in,https://www.moci.gov.in,
Gc4zv3QBGZk0jujBKgGW,Ministry of Communications,ug,,"Sanchar Bhawan, 20 Ashoka Road, New Delhi- 110001",Fax: Email: Social Media: Website:,Email: Social Media: Website:,Social Media: Website:,,
Gs4zv3QBGZk0jujBKgGW,"Ministry of Consumer Affairs, Food and Public Distribution",ug,,"Room No. 546 C , Krishi Bhawan, New Delhi-110001",Fax: Email: Website:,Email: Website:,Website:,,
H84zv3QBGZk0jujBKgGW,"Ministry of Environment, Forest and Climate Change",ug,,"Indira Paryavaran Bhawan Jorbagh Road, New Delhi – 110 003","011-20819265, 011-20819277",Email: Social Media: Website: https://moef.gov.in,Social Media: Website: https://moef.gov.in,https://moef.gov.in,
HM4zv3QBGZk0jujBKgGW,Ministry of Culture,ug,,"Ministry of Culture, Government of India, Kartavya Bhawan 2, New Delhi - 110001","011-23382331, 011-24014307",Email: webmaster-culture[at]gov[dot]in Social Media: Website: https://culture.gov.in,webmaster-culture@gov.in,https://culture.gov.in,
Hc4zv3QBGZk0jujBKgGW,Ministry of Defence,ug,,"Ministry of Defence, Room No.305 - 'B' Wing, Sena Bhawan, New Delhi-110011",011-23793724,Email: Social Media: Website: https://www.mod.gov.in,Social Media: Website: https://www.mod.gov.in,https://www.mod.gov.in,
HdLWHHUBGGphvn7wG-2q,GOV.IN Registration Services,ug,,"GOV.IN Domain Registrar, National Informatics Centre (NIC), A4B4, 3rd Floor, A-Block, CGO Complex, Lodhi Road, New Delhi - 110003",011-24305112,Email: support[at]registry[dot]gov[dot]in Website: https://registry.gov.in,support@registry.gov.in Website: https://registry.gov.in,https://registry.gov.in,
Hs4zv3QBGZk0jujBKgGW,Ministry of Earth Sciences,ug,,"Ministry of Earth Sciences, Government of India, Prithvi Bhavan, Opp. India Habitat Centre, Lodhi Road, New Delhi - 110003",011-24669578,Email: Social Media: Website: https://moes.gov.in,Social Media: Website: https://moes.gov.in,https://moes.gov.in,
I84zv3QBGZk0jujBKgGW,Ministry of Health and Family Welfare,ug,,"Ministry of Health & Family Welfare, Room No. 11068, B-Wing, Kartavya Bhawan -1 New Delhi -110001","011-24013173, 011-24013174",Email: Social Media: Website: https://mohfw.gov.in,Social Media: Website: https://mohfw.gov.in,https://mohfw.gov.in,
IM4zv3QBGZk0jujBKgGW,Ministry of External Affairs,ug,,"SO (Vigilance Unit), CNV&I Division, Room No. 0168, Jawaharlal Nehru Bhawan, MEA, Janpath, New Delhi-110011","23383371, 23383373",Email: jsxp[at]mea[dot]gov[dot]in Social Media: Website: https://www.mea.gov.in,jsxp@mea.gov.in,https://www.mea.gov.in,
Ic4zv3QBGZk0jujBKgGW,Ministry of Finance,ug,,"Ministry of Finance, Department of Expenditure, Room No. : 16088, Kartavya Bhawan - I, New Delhi",011-24012028,Email: jsecoord-doe[at]gov[dot]in Social Media: Website: https://finmin.gov.in,jsecoord-doe@gov.in,https://finmin.gov.in,
Is4zv3QBGZk0jujBKgGW,Ministry of Food Processing Industries,ug,,"Panchsheel Bhawan, August Kranti Marg Khelgaon, New Delhi-110049",011-26406500,011-26493228,support-net@mofpi.gov.in,https://mofpi.gov.in,
J84zv3QBGZk0jujBKgGW,Ministry of Education,ug,,"Kartavya Bhawan 2, Central Secretariat, New Delhi-110001",Fax: Email: Social Media: Website: https://www.education.gov.in,Email: Social Media: Website: https://www.education.gov.in,Social Media: Website: https://www.education.gov.in,https://www.education.gov.in,
JM4zv3QBGZk0jujBKgGW,Ministry of Heavy Industries,ug,,"Room No. 123-B, Udyog Bhawan, Rafi Marg,New Delhi - 110011",23062714,23062714,ea.dhi@nic.in,https://heavyindustries.gov.in,
Jc4zv3QBGZk0jujBKgGW,Ministry of Home Affairs,ug,,Ministry of Home Affairs North Block New Delhi - 110001 India,Fax: Email: Social Media: Website: https://mha.gov.in,Email: Social Media: Website: https://mha.gov.in,Social Media: Website: https://mha.gov.in,https://mha.gov.in,
Js4zv3QBGZk0jujBKgGW,Ministry of Housing and Urban Affairs,ug,,"Sankalp Bhawan, GPOA-2, Pt. Ravi Shankar Shukla Lane, New Delhi-110001","011-23783038, 011-23783039",Email: jsnudm-mohua[at]gov[dot]in Social Media: Website: https://mohua.gov.in,jsnudm-mohua@gov.in,https://mohua.gov.in,
