ministry,releases_6y_total,releases_2021,releases_2022,releases_2023,releases_2024,releases_2025,releases_2026,releases_90d,latest_release_date,latest_release_title,matched_org,contact_name,designation,phones,email
Prime Minister's Office,10516,1432,1731,2442,1695,1921,1295,529,2026-07-29,PM Chairs Second High-Level Meeting with Secretaries of Government of India,,,,,
Ministry of Defence,5524,1100,937,962,981,1034,510,198,2026-07-29,Raksha Mantri unveils landmark policy reforms for ICG personnel & their families,Ministry of Defence,Shri Sanjay Seth,Minister of State,"24014508, 23310353",mos-defence@gov.in
Ministry of Defence,5524,1100,937,962,981,1034,510,198,2026-07-29,Raksha Mantri unveils landmark policy reforms for ICG personnel & their families,Ministry of Defence,Shri Raj Nath Singh,Minister,"24014501, 24014502, 23793881",rmo@mod.nic.in
Ministry of Health and Family Welfare,4579,1744,1499,493,298,282,263,134,2026-07-29,Update on Ayushman Bharat Pradhan Mantri Jan Arogya Yojna (AB PM-JAY),Ministry of Health and Family Welfare,Shri Jadhav Prataprao Ganpatrao,Minister of State,24013380,mos-health@gov.in
Ministry of Health and Family Welfare,4579,1744,1499,493,298,282,263,134,2026-07-29,Update on Ayushman Bharat Pradhan Mantri Jan Arogya Yojna (AB PM-JAY),Ministry of Health and Family Welfare,Smt. Anupriya Patel,Minister of State,"24013239, 24013240",mosap-mohfw@gov.in
Ministry of Health and Family Welfare,4579,1744,1499,493,298,282,263,134,2026-07-29,Update on Ayushman Bharat Pradhan Mantri Jan Arogya Yojna (AB PM-JAY),Ministry of Health and Family Welfare,Shri Jagat Prakash Nadda,Minister,"24013301, 24013302",min-hfm@gov.in
Ministry of Finance,3004,753,544,566,443,426,272,83,2026-07-29,"Regional Rural Banks (RRBs) Post Highest-Ever Net Profit of Rs. 10,177 Crore in FY 2025–26, show consistent improvement in other key financial parameters",Ministry of Finance,Shri Pankaj Chaowdhary,Minister of State,"011-24012401, 011-24012402",mosfinance@nic.in
Ministry of Finance,3004,753,544,566,443,426,272,83,2026-07-29,"Regional Rural Banks (RRBs) Post Highest-Ever Net Profit of Rs. 10,177 Crore in FY 2025–26, show consistent improvement in other key financial parameters",Ministry of Finance,Smt. Nirmala Sitharaman,Minister,"011-24012101, 011-24012102",appointment.fm@gov.in
Ministry of Finance,3004,753,544,566,443,426,272,83,2026-07-29,"Regional Rural Banks (RRBs) Post Highest-Ever Net Profit of Rs. 10,177 Crore in FY 2025–26, show consistent improvement in other key financial parameters",Ministry of Finance,Shri V. Vualnam,Finance Secretary,"011-24012000, 011-24012001",secyexp@nic.in
Ministry of Science & Technology,2985,588,463,452,508,583,391,134,2026-07-28,Astronomers discover an actively forming luminous blue straggler star,Ministry of Science and Technology,Dr. Jitendra Singh,Minister of State (Independent Charge),"23316745, 24629788",mos-stes@gov.in
Ministry of Commerce & Industry,2748,495,546,452,411,536,308,142,2026-07-29,"India's Toy Exports Soar 89.1%, Reflecting Strong Growth in Domestic Manufacturing",Ministry of Commerce and Industry,Shri Jitin Prasada,Minister of State,"23039174, 23039184",mos-ci@gov.in
Ministry of Commerce & Industry,2748,495,546,452,411,536,308,142,2026-07-29,"India's Toy Exports Soar 89.1%, Reflecting Strong Growth in Domestic Manufacturing",Ministry of Commerce and Industry,Shri Piyush Goyal,Minister,"23039110, 23039111",piyush.goyal@gov.in
Ministry of Agriculture & Farmers Welfare,2135,359,354,367,290,503,262,106,2026-07-29,PESTICIDE MANAGEMENT BILL,Ministry of Agriculture and Farmers Welfare,Shri Ram Nath Thakur,Minister of State,"23383975, 23383976",
Ministry of Agriculture & Farmers Welfare,2135,359,354,367,290,503,262,106,2026-07-29,PESTICIDE MANAGEMENT BILL,Ministry of Agriculture and Farmers Welfare,Shri Bhagirath Choudhary,Minister of State,"23782343, 23388165, 23015410",
Ministry of Agriculture & Farmers Welfare,2135,359,354,367,290,503,262,106,2026-07-29,PESTICIDE MANAGEMENT BILL,Ministry of Agriculture and Farmers Welfare,Shri Shivraj Singh Chouhan,Minister,"23383370, 23782691, 23794697",agrimin.india@gmail.com
Ministry of Information & Broadcasting,2117,375,398,326,360,498,160,79,2026-07-29,President Droupadi Murmu's Four Years in Office Marked by Release of Five Commemorative Books at Rashtrapati Bhavan,Ministry of Information and Broadcasting,Dr. L. Murugan,Minister of State,,mos-moib@gov.in
Ministry of Information & Broadcasting,2117,375,398,326,360,498,160,79,2026-07-29,President Droupadi Murmu's Four Years in Office Marked by Release of Five Commemorative Books at Rashtrapati Bhavan,Ministry of Information and Broadcasting,Shri Ashwini Vaishnaw,Minister,,minister.inb@gov.in
Ministry of Information & Broadcasting,2117,375,398,326,360,498,160,79,2026-07-29,President Droupadi Murmu's Four Years in Office Marked by Release of Five Commemorative Books at Rashtrapati Bhavan,Ministry of Information and Broadcasting,Shri Chanchal Kumar,Secretary,011-24015801,secy.inb@nic.in
Ministry of Home Affairs,2108,290,298,352,343,491,334,107,2026-07-29,FUNDS TO NFIES,Ministry of Home Affairs,Shri Nityanand Rai,Minister of State,"23092870, 23092595",
Ministry of Home Affairs,2108,290,298,352,343,491,334,107,2026-07-29,FUNDS TO NFIES,Ministry of Home Affairs,Shri Bandi Sanjay Kumar,Minister of State,"23092073, 23094054",
Ministry of Home Affairs,2108,290,298,352,343,491,334,107,2026-07-29,FUNDS TO NFIES,Ministry of Home Affairs,Shri Amit Shah,Minister,"23092462, 23094686",
Ministry of Jal Shakti,1796,395,500,301,133,310,157,37,2026-07-28,Extension of the Jal Jeevan Mission and Transfer of Rural Water Supply Schemes,Ministry of Jal Shakti,Shri V. Somanna,Minister of State,24368618,mosoffice-mdws@nic.in
Ministry of Jal Shakti,1796,395,500,301,133,310,157,37,2026-07-28,Extension of the Jal Jeevan Mission and Transfer of Rural Water Supply Schemes,Ministry of Jal Shakti,Shri Raj Bhushan Choudhary,Minister of State,23718759,mos-mowr@nic.in
Ministry of Jal Shakti,1796,395,500,301,133,310,157,37,2026-07-28,Extension of the Jal Jeevan Mission and Transfer of Rural Water Supply Schemes,Ministry of Jal Shakti,Shri C R Patil,Minister,23714200,minister-jalshakti@gov.in
"Ministry of Personnel, Public Grievances & Pensions",1602,169,256,292,384,365,136,42,2026-07-29,38th Webinar of the National Good Governance Webinar Series 2026-27 under the theme ‘Sustainability and Replication of the Awarded Initiatives under PMA’ held o,"Ministry of Personnel, Public Grievances and Pensions",Dr. Jitendra Singh,Minister of State,24010700,mos-pp@nic.in
"Ministry of Personnel, Public Grievances & Pensions",1602,169,256,292,384,365,136,42,2026-07-29,38th Webinar of the National Good Governance Webinar Series 2026-27 under the theme ‘Sustainability and Replication of the Awarded Initiatives under PMA’ held o,"Ministry of Personnel, Public Grievances and Pensions",Shri Narendra Modi,Prime Minister,,
Ministry of Communications,1500,71,190,175,318,482,264,86,2026-07-29,"Union Minister for Communications Shri Jyotiraditya M. Scindia reviews progress of Bharat 6G Alliance, presents 5G Lab Excellence Awards",Ministry of Communications,Dr. Chandra Sekhar Pemmasani,Minister of State,"23372414, 23372565",mosc-office@gov.in
Ministry of Communications,1500,71,190,175,318,482,264,86,2026-07-29,"Union Minister for Communications Shri Jyotiraditya M. Scindia reviews progress of Bharat 6G Alliance, presents 5G Lab Excellence Awards",Ministry of Communications,Shri Jyotiraditya M. Scindia,Minister,"23739191, 23710445",moc-office@gov.in
Vice President's Secretariat,1476,219,197,250,333,303,174,58,2026-07-23,Vice-President inaugurates GKNM College of Nursing in Coimbatore,,,,,
"Ministry of Environment, Forest and Climate Change",1455,102,312,340,246,283,172,57,2026-07-29,"World Nature Conservation Day Celebrated at National Zoological Park, New Delhi","Ministry of Environment, Forest and Climate Change",Shri Kirtivardhan Singh,Minister of State,"011-20819418, 011-20819421, 011-23794971",
"Ministry of Environment, Forest and Climate Change",1455,102,312,340,246,283,172,57,2026-07-29,"World Nature Conservation Day Celebrated at National Zoological Park, New Delhi","Ministry of Environment, Forest and Climate Change",Shri Bhupender Yadav,Minister,"011-20819190, 011-20819187, 011-23014243",mefcc@gov.in
"Ministry of Environment, Forest and Climate Change",1455,102,312,340,246,283,172,57,2026-07-29,"World Nature Conservation Day Celebrated at National Zoological Park, New Delhi","Ministry of Environment, Forest and Climate Change",Shri Tanmay Kumar,Secretary,"011-20819308, 011-20819408",secy-moef@nic.in
Ministry of Culture,1440,180,238,228,225,427,142,26,2026-07-28,“MUSEUM GRANT SCHEME AND PRESERVATION OF CULTURAL HERITAGE”,Ministry of Culture,Rao Inderjit Singh,Minister of State,"21402909, 23096561",mos-culture@gov.in
