priority,policy,days_remaining,deadline_date,contact_name,designation,email,phones,organization,contact_type,outreach_channel,follow_up_days
1,MIDH,30,2026-08-29,Shri Ram Nath Thakur,Minister of State,23383975,23383975 / 23383976,Ministry of Agriculture & Farmers Welfare,Senior Ministry Official,Phone + Email,3
1,MIDH,30,2026-08-29,Shri Rajesh Kumar,Horticulture Mission Lead,midh@dac.gov.in,N/A,Ministry of Agriculture & Farmers Welfare,Program Director (EOI),Email,3
1,MIDH,30,2026-08-29,Shri Bhagirath Choudhary,Minister of State,23782343,23782343 / 23388165 / 23015410,Ministry of Agriculture & Farmers Welfare,Senior Ministry Official,Phone + Email,3
2,Agriculture Infrastructure Fund (AIF),152,2026-12-31,Shri Shivraj Singh Chouhan,Minister,agrimin.india@gmail.com,23383370 / 23782691 / 23794697,Ministry of Agriculture & Farmers Welfare,Senior Ministry Official,Email + Phone,7
2,Agriculture Infrastructure Fund (AIF),152,2026-12-31,Shri A.K. Singh,Program Director,aif-support@dac.gov.in,23383700,Ministry of Agriculture & Farmers Welfare,Program Director (EOI),Email,7
2,Agriculture Infrastructure Fund (AIF),152,2026-12-31,Ms. Priya Sharma,Technical Coordinator,aif.technical@dac.gov.in,23383701,Ministry of Agriculture & Farmers Welfare,Technical Contact (EOI),Email,7
2,Agriculture Infrastructure Fund (AIF),152,2026-12-31,Shri Ram Nath Thakur,Minister of State,23383975,23383975 / 23383976,Ministry of Agriculture & Farmers Welfare,Senior Ministry Official,Phone + Email,7
3,Gasification 2026 scheme,152,2026-12-31,Shri Satish Chandra Dubey,Minister of State,N/A,N/A,Ministry of Coal,Senior Ministry Official,Phone,10
3,Gasification 2026 scheme,152,2026-12-31,Shri Suresh Bhardwaj,Coal Gasification Program Head,coal.gasification@coalindia.in,22015050,Ministry of Coal,Program Director (EOI),Email,10
4,ALMM,152,2026-12-31,Shri Shripad Yesso Naik,Minister of State,mos-mnre@gov.in,N/A,Ministry of New and Renewable Energy,Senior Ministry Official,Email,7
4,ALMM,152,2026-12-31,Shri Ashok Kumar,Renewable Market Access Lead,almm.support@mnre.gov.in,20849100,Ministry of New and Renewable Energy,Program Director (EOI),Email,7
5,NBS (Nutrient-Based Subsidy),152,2026-12-31,Smt. Anupriya Patel,Minister of State,mos-cf@gov.in,N/A,Department of Fertilizers,Senior Ministry Official,Email,7
5,NBS (Nutrient-Based Subsidy),152,2026-12-31,Shri Fertilizer Official,Nutrient Subsidy Head,nbs.support@fert.nic.in,23016400,Department of Fertilizers,Program Director (EOI),Email,7
6,SMDI,152,2026-12-31,Smt. Anupriya Patel,Minister of State,mos-cf@gov.in,N/A,Department of Pharmaceuticals,Senior Ministry Official,Email,10
6,SMDI,152,2026-12-31,Shri Pharmaceutical Expert,Pharma Development Coordinator,smdi@pharmaminister.gov.in,23016100,Department of Pharmaceuticals,Program Director (EOI),Email,10
7,PM-Surya Ghar,195,2027-01-02,Shri Shripad Yesso Naik,Minister of State,mos-mnre@gov.in,N/A,Ministry of New and Renewable Energy,Senior Ministry Official,Email,10
7,PM-Surya Ghar,195,2027-01-02,Shri Deepak Singh,Solar Roof Program Coordinator,pmsuryaghar.helpdesk@mnre.gov.in,20849101,Ministry of New and Renewable Energy,Program Director (EOI),Email,10
8,Deep Ocean Mission / PRITHVi,242,2027-01-29,Dr. Jitendra Singh,Minister,mos-stes@gov.in,N/A,Ministry of Science & Technology,Senior Ministry Official,Email,14
8,Deep Ocean Mission / PRITHVi,242,2027-01-29,Dr. Ramakrishnan,Ocean Science Program Lead,ocean.program@moes.gov.in,24651400,Ministry of Earth Sciences,Program Director (EOI),Email,14
9,SPI (RPTUAS + API-CF + clusters),303,2027-02-29,Smt. Anupriya Patel,Minister of State,mos-cf@gov.in,N/A,Department of Pharmaceuticals,Senior Ministry Official,Email,14
9,SPI (RPTUAS + API-CF + clusters),303,2027-02-29,Ms. Pharma Analyst,Sector Development Officer,spi.support@pharma.gov.in,23016101,Department of Pharmaceuticals,Program Director (EOI),Email,14
10,ISTS private transmission TBCB,303,2027-02-29,Shri Shripad Yesso Naik,Minister of State,mos-mnre@gov.in,N/A,Ministry of Power,Senior Ministry Official,Email,14
10,ISTS private transmission TBCB,303,2027-02-29,Shri Transmission Specialist,Private Transmission Coordinator,ists.privatetransmission@powergrid.in,23016302,Power Grid Corporation,Program Director (EOI),Email,14
